accession	subtype
KX228824	02_AG
KX228825	B
KX232594	A1
KX232595	A1
KX232600	A1
KX232602	C
KX232607	A1
KX232609	A1
KX232610	A1
KX232611	A1
KX232613	A1
KX232614	A1
KX232616	02_AG
KX232618	A1
KX232619	A1
KX232621	A1
KX232624	A1
KX232625	02_AG
KX232626	A1
KX389610	02_AG
KX389612	C
KX389614	02_AG
KX389617	02_AG
KX389618	G
KX389619	G
KX389620	G
KX389621	02_AG
KX389624	02_AG
KX389625	G
KX389626	G
KX389629	02_AG
KX389630	02_AG
KX389631	G
KX389635	G
KX389639	02_AG
KX389641	G
KX389642	G
KX389643	02_AG
KX389645	G
KX389646	G
KX389647	02_AG
KX389649	02_AG
KX907336	A1
KX907337	C
KX907338	C
KX907339	C
KX907345	C
KX907346	A1
KX907347	A1
KX907348	A1
KX907349	C
KX907352	A1
KX907356	C
KX907358	C
KX907363	C
KX907364	A1
KX907366	C
KX907368	C
KX907372	A1
KX907374	C
KX907375	C
KX907378	A1
KX907380	C
KX907382	C
KX907383	A1
KX907384	C
KX907385	C
KX907388	C
KX907389	A1
KX907391	C
KX907392	C
KX907393	C
KX907394	C
KX907395	C
KX907399	C
KX907400	C
KX907401	A1
KX907405	C
KX907406	D
KX907412	A1
KX907413	C
KX907414	A1
KX907415	C
KX907416	C
KX907420	C
KX907422	C
KX907423	A1
KX907424	C
KX907425	C
KX907426	C
KX907431	A1
KX907433	C
KY111987	C
KY111988	C
KY111989	C
KY111990	C
KY111991	C
KY111992	C
KY111993	C
KY111994	C
KY111995	C
KY111996	C
KY111997	C
KY111998	C
KY111999	C
KY112000	C
KY112001	C
KY112002	C
KY112003	C
KY112004	C
KY112005	C
KY112006	C
KY112007	C
KY112008	C
KY112009	C
KY112010	C
KY112011	C
KY112012	C
KY112013	C
KY112014	C
KY112056	B
KY112057	B
KY112058	B
KY112059	B
KY112060	B
KY112061	B
KY112062	B
KY112063	B
KY112064	B
KY112065	B
KY112066	B
KY112067	B
KY112068	B
KY112069	B
KY112070	B
KY112071	B
KY112072	B
KY112073	B
KY112074	B
KY112075	C
KY112076	C
KY112077	C
KY112078	C
KY112079	C
KY112080	C
KY112081	C
KY112082	C
KY112083	C
KY112084	C
KY112085	C
KY112086	C
KY112087	C
KY112088	C
KY112089	C
KY112090	C
KY112091	C
KY112092	C
KY112093	C
KY112127	B
KY112128	B
KY112129	B
KY112130	B
KY112131	B
KY112132	B
KY112133	B
KY112134	B
KY112135	B
KY112136	B
KY112137	B
KY112138	B
KY112139	B
KY112140	B
KY112141	B
KY112142	B
KY112143	B
KY112144	B
KY112146	B
KY112147	B
KY112148	B
KY112149	B
KY112150	B
KY112151	B
KY112152	B
KY112153	B
KY112154	B
KY112155	B
KY112156	B
KY112157	B
KY112158	B
KY112159	B
KY112190	B
KY112191	B
KY112192	B
KY112193	B
KY112194	B
KY112195	B
KY112196	B
KY112197	C
KY112198	C
KY112199	C
KY112200	C
KY112201	C
KY112202	C
KY112203	C
KY112204	C
KY112205	C
KY112206	C
KY112207	C
KY112208	C
KY112209	C
KY112210	C
KY112211	C
KY112212	C
KY112213	C
KY112214	C
KY112215	C
KY112216	C
KY112217	C
KY112251	C
KY112252	C
KY112253	C
KY112254	C
KY112255	C
KY112256	C
KY112257	C
KY112258	C
KY112261	C
KY112263	C
KY112264	C
KY112265	C
KY112267	C
KY112272	C
KY112274	C
KY112277	C
KY112282	C
KY112284	C
KY112285	C
KY112286	C
KY112288	C
KY112300	C
KY112302	C
KY112303	C
KY112304	C
KY112305	C
KY112312	C
KY112318	C
KY112360	C
KY112361	C
KY112362	C
KY112363	C
KY112364	C
KY112365	C
KY112366	C
KY112367	C
KY112368	C
KY112369	C
KY112370	C
KY112371	C
KY112372	C
KY112373	C
KY112374	C
KY112375	C
KY112376	C
KY112377	C
KY112378	C
KY112379	C
KY112380	C
KY112381	C
KY112382	C
KY112383	C
KY112384	C
KY112385	C
KY112386	C
KY112387	C
KY112388	C
KY112389	C
KY112429	B
KY112430	B
KY112431	B
KY112432	B
KY112433	B
KY112434	B
KY112435	B
KY112436	B
KY112437	B
KY112438	B
KY112439	B
KY112440	B
KY112441	B
KY112442	B
KY112443	B
KY112444	B
KY112445	B
KY112461	B
KY112462	B
KY112463	B
KY112464	B
KY112465	B
KY112466	B
KY112467	B
KY112468	B
KY112469	B
KY112470	B
KY112471	B
KY112472	B
KY112473	B
KY112474	B
KY112475	B
KY112476	B
KY112477	B
KY112478	B
KY112479	B
KY112480	B
KY112481	B
KY112482	B
KY112483	B
KY112484	B
KY112485	B
KY112486	B
KY112487	B
KY112488	B
KY112489	B
KY112490	B
KY112491	B
KY112492	B
KY112493	B
KY112522	B
KY112523	B
KY112524	B
KY112525	B
KY112526	B
KY112527	B
KY112528	B
KY112529	B
KY112530	B
KY112531	B
KY112532	B
KY112533	B
KY112534	B
KY112535	B
KY112536	B
KY112537	B
KY112577	C
KY112578	C
KY112579	C
KY112580	C
KY112581	C
KY112582	C
KY112583	C
KY112584	C
KY112585	O
KY238326	A6
KY238327	A6
KY364886	B
KY392769	D
KY465967	B
KY465968	B
KY465969	B
KY496622	A1
KY496624	C
KY514084	F1
KY514085	F1
KY580541	01_AE
KY580542	01_AE
KY580543	01_AE
KY580545	01_AE
KY580547	01_AE
KY580548	01_AE
KY580549	01_AE
KY580551	01_AE
KY580552	01_AE
KY580553	01_AE
KY580554	01_AE
KY580555	01_AE
KY580556	01_AE
KY580557	01_AE
KY580558	01_AE
KY580559	01_AE
KY580561	01_AE
KY580562	01_AE
KY580563	01_AE
KY580565	01_AE
KY580567	01_AE
KY580569	01_AE
KY580570	01_AE
KY580571	01_AE
KY580572	01_AE
KY580573	01_AE
KY580574	01_AE
KY580575	01_AE
KY580576	01_AE
KY580577	01_AE
KY580578	01_AE
KY580579	01_AE
KY580580	01_AE
KY580581	01_AE
KY580582	01_AE
KY580583	01_AE
KY580584	01_AE
KY580585	01_AE
KY580586	01_AE
KY580587	01_AE
KY580588	01_AE
KY580589	01_AE
KY580590	01_AE
KY580591	01_AE
KY580595	01_AE
KY580596	01_AE
KY580597	01_AE
KY580598	01_AE
KY580599	01_AE
KY580600	01_AE
KY580601	01_AE
KY580602	01_AE
KY580603	01_AE
KY580605	01_AE
KY580606	01_AE
KY580608	01_AE
KY580609	01_AE
KY580610	01_AE
KY580612	01_AE
KY580613	01_AE
KY580615	01_AE
KY580616	01_AE
KY580617	01_AE
KY580618	01_AE
KY580619	01_AE
KY580620	01_AE
KY580621	01_AE
KY580622	01_AE
KY580624	01_AE
KY580625	01_AE
KY580626	01_AE
KY580627	01_AE
KY580628	01_AE
KY580629	01_AE
KY580630	01_AE
KY580631	01_AE
KY580632	01_AE
KY580633	01_AE
KY580634	01_AE
KY580635	01_AE
KY580636	01_AE
KY580637	01_AE
KY580638	01_AE
KY580640	01_AE
KY580641	01_AE
KY580642	01_AE
KY580643	01_AE
KY580646	01_AE
KY580647	01_AE
KY580648	01_AE
KY580649	01_AE
KY580650	01_AE
KY580654	01_AE
KY580658	01_AE
KY580673	01_AE
KY580674	01_AE
KY580675	01_AE
KY580678	01_AE
KY580681	01_AE
KY580682	01_AE
KY580684	01_AE
KY580686	01_AE
KY580687	01_AE
KY580688	01_AE
KY580690	01_AE
KY580692	01_AE
KY580693	01_AE
KY580694	01_AE
KY580695	01_AE
KY580697	01_AE
KY580700	01_AE
KY580701	01_AE
KY580702	01_AE
KY580703	01_AE
KY580705	01_AE
KY580707	01_AE
KY580708	01_AE
KY580709	01_AE
KY580710	01_AE
KY580711	01_AE
KY580713	01_AE
KY658681	A6
KY658682	A6
KY658683	B
KY658684	B
KY658685	B
KY658686	B
KY658688	01_AE
KY658689	B
KY658690	B
KY658693	B
KY658694	A1
KY658695	A1
KY658696	A1
KY658697	B
KY658702	B
KY658703	B
KY658704	C
KY658705	C
KY658706	C
KY658707	C
KY658708	C
KY658709	C
KY658710	C
KY658711	C
KY658712	02_AG
KY658714	A1
KY658715	A1
KY658716	A1
KY713230	C
KY713235	C
KY766175	B
KY766210	B
KY778299	B
KY778305	B
KY778351	B
KY778473	B
KY778479	B
KY778482	B
KY778487	B
KY778496	B
KY778502	B
KY778510	B
KY778514	B
KY778516	B
KY778517	B
KY778529	B
KY778545	B
KY778548	B
KY778593	B
KY778611	B
KY778615	B
KY778616	B
KY953197	02_AG
KY953198	02_AG
KY953200	G
KY953201	G
KY953202	G
KY953205	O
KY989949	B
KY989950	02_AG
KY989951	B
KY989952	C
KY989953	B
KY989954	B
KY989955	F1
KY989956	B
KY989957	F1
L20571	O
L20587	O
L39106	02_AG
M15654	B
M38429	B
M38431	B
MF109359	B
MF109372	B
MF109376	B
MF109388	B
MF109395	B
MF109396	B
MF109400	B
MF109440	B
MF109446	B
MF109452	B
MF109454	B
MF109472	B
MF109475	B
MF109494	B
MF109506	B
MF109532	D
MF109540	B
MF109543	B
MF109620	B
MF109624	B
MF109627	B
MF109636	B
MF109664	B
MF109705	B
MF157735	B
MF157736	B
MF157740	02_AG
MF157741	B
MF157742	02_AG
MF157743	G
MF373124	A1
MF373125	B
MF373127	B
MF373128	C
MF373130	B
MF373131	C
MF373132	C
MF373133	C
MF373134	C
MF373135	C
MF373136	C
MF373137	C
MF373138	C
MF373139	C
MF373140	B
MF373142	B
MF373144	B
MF373146	C
MF373148	C
MF373149	B
MF373151	B
MF373154	C
MF373156	C
MF373157	C
MF373158	C
MF373159	C
MF373160	01_AE
MF373161	B
MF373162	B
MF373164	C
MF373165	C
MF373166	C
MF373167	A1
MF373168	A1
MF373169	C
MF373170	C
MF373171	C
MF373172	01_AE
MF373173	01_AE
MF373174	B
MF373176	C
MF373177	C
MF373178	C
MF373181	A1
MF373182	A1
MF373184	C
MF373186	B
MF373187	C
MF373192	C
MF373193	C
MF373197	C
MF373198	C
MF373199	C
MF373201	B
MF373202	C
MF373203	B
MF373204	B
MF614605	G
MF614606	G
MF614607	G
MG171201	B
MG171203	B
MG171204	B
MG171205	B
MG171206	B
MG196642	B
MG196643	B
MG196644	B
MG196645	B
MG196646	B
MG196653	B
MG196654	B
MG196655	B
MG196656	B
MG196657	B
MG196658	B
MG196659	B
MG196660	B
MG196661	B
MG196662	B
MG196664	B
MG196665	B
MG196667	B
MG196668	B
MG196669	B
MG196670	B
MG196671	B
MG196672	B
MG196689	B
MG196690	B
MG196691	B
MG196693	B
MG196694	B
MG196695	B
MG196696	B
MG196697	B
MG196699	B
MG196700	B
MG196701	B
MG196703	B
MG196704	B
MG196705	B
MG196706	B
MG196707	B
MG196708	B
MG196709	B
MG196711	B
MG196712	B
MG196713	B
MG196715	B
MG196716	B
MG196717	B
MG196718	B
MG196719	B
MG196720	B
MG196745	B
MG196746	B
MG196747	B
MG196748	B
MG196749	B
MG196751	B
MG196752	B
MG196753	B
MG196754	B
MG196765	B
MG196766	B
MG196768	B
MG196769	B
MG196770	B
MG196771	B
MG196772	B
MG196773	B
MG196774	B
MG196775	B
MG196776	B
MG196777	B
MG196779	B
MG196780	B
MG196781	B
MG196782	B
MG196783	B
MG196784	B
MG196785	B
MG196786	B
MG196787	B
MG196788	B
MG196789	B
MG196790	B
MG196791	B
MG196792	B
MG196793	B
MG196794	B
MG196795	B
MG196797	B
MG196816	B
MG196819	B
MG196820	B
MG196821	B
MG196822	B
MG196823	B
MG196824	B
MG196826	B
MG196827	B
MG196828	B
MG196830	B
MG196836	B
MG196837	B
MG196839	B
MG196841	B
MG196842	B
MG196845	B
MG196846	B
MG196848	B
MG196849	B
MG196850	B
MG196852	B
MG196853	B
MG196854	B
MG196855	B
MG196878	B
MG196881	B
MG196882	B
MG196883	B
MG196886	B
MG196887	B
MG196888	B
MG196912	B
MG196913	B
MG196914	B
MG196915	B
MG196916	B
MG196917	B
MG196918	B
MG196919	B
MG196920	B
MG196922	B
MG196923	B
MG196924	B
MG196942	B
MG196943	B
MG196945	B
MG196947	B
MG196948	B
MG196949	B
MG196950	B
MG196951	B
MG196952	B
MG196953	B
MG196954	B
MG196955	B
MG196956	B
MG196957	B
MG196958	B
MG196959	B
MG196960	B
MG196961	B
MG196962	B
MG196963	B
MG196964	B
MG196965	B
MG196967	B
MG196969	B
MG196970	B
MG196972	B
MG196973	B
MG196975	B
MG196977	B
MG196978	B
MG196980	B
MG196981	B
MG196982	B
MG197013	B
MG197014	B
MG197016	B
MG197017	B
MG197018	B
MG197019	B
MG197020	B
MG197021	B
MG197022	B
MG197023	B
MG197024	B
MG197025	B
MG197026	B
MG197027	B
MG197028	B
MG197029	B
MG197031	B
MG197032	B
MG197033	B
MG197034	B
MG197036	B
MG197037	B
MG197038	B
MG197039	B
MG197040	B
MG197041	B
MG197042	B
MG197043	B
MG197044	B
MG197045	B
MG197047	B
MG197049	B
MG197050	B
MG197051	B
MG197053	B
MG197054	B
MG197055	B
MG197056	B
MG197057	B
MG197058	B
MG197059	B
MG197060	B
MG197061	B
MG197062	B
MG197063	B
MG197064	B
MG197066	B
MG197067	B
MG197068	B
MG197069	B
MG197070	B
MG197071	B
MG197072	B
MG197074	B
MG197076	B
MG197078	B
MG197079	B
MG197080	B
MG197081	B
MG197082	B
MG197084	B
MG197086	B
MG197087	B
MG197088	B
MG197089	B
MG197090	B
MG197091	B
MG197092	B
MG197094	B
MG197115	B
MG197116	B
MG197117	B
MG197118	B
MG197120	B
MG197121	B
MG197122	B
MG197123	B
MG197125	B
MG197126	B
MG197127	B
MG197129	B
MG197131	B
MG197132	B
MG197133	B
MG197134	B
MG197136	B
MG197137	B
MG197138	B
MG197139	B
MG197140	B
MG197141	B
MG197143	B
MG197144	B
MG197145	B
MG197146	B
MG197147	B
MG197148	B
MG197149	B
MG197150	B
MG197151	B
MG197153	B
MG197154	B
MG197176	B
MG197178	B
MG197180	B
MG197181	B
MG197182	B
MG197184	B
MG197185	B
MG197186	B
MG197187	B
MG197188	B
MG197190	B
MG197191	B
MG197193	B
MG197194	B
MG197195	B
MG197196	B
MG197197	B
MG197198	B
MG197199	B
MG197200	B
MG197201	B
MG197203	B
MG197204	B
MG197205	B
MG197206	B
MG197207	B
MG197208	B
MG197210	B
MG197212	B
MG197213	B
MG197215	B
MG197216	B
MG197217	B
MG197218	B
MG197219	B
MG365763	F1
MG365764	F1
MG365767	F1
MG365768	F1
MG461319	B
MG461320	B
MG461321	B
MG461322	B
MG760371	01_AE
MG760372	01_AE
MG760373	01_AE
MG760374	01_AE
MG760375	01_AE
MG760376	01_AE
MG760377	01_AE
MG760378	01_AE
MG760381	01_AE
MG760382	01_AE
MG760383	01_AE
MG760387	01_AE
MG760388	01_AE
MG760389	01_AE
MG760391	01_AE
MG760393	01_AE
MG760395	01_AE
MG760396	01_AE
MG760397	01_AE
MG760398	01_AE
MG760400	01_AE
MG760401	01_AE
MG760402	01_AE
MG760404	01_AE
MG760405	01_AE
MG760406	01_AE
MG760408	01_AE
MG760409	01_AE
MG760410	01_AE
MG760412	01_AE
MG760413	01_AE
MG760414	01_AE
MG760415	01_AE
MG760416	01_AE
MG760417	01_AE
MG760419	01_AE
MG760420	01_AE
MG760421	01_AE
MG760422	01_AE
MG760423	01_AE
MG760424	01_AE
MG760425	01_AE
MG760426	01_AE
MG760428	01_AE
MG760429	01_AE
MG760430	01_AE
MG760431	01_AE
MG902950	A6
MG902951	A6
MG989492	01_AE
MG989495	01_AE
MG989497	01_AE
MG989498	01_AE
MG989499	01_AE
MG989500	01_AE
MG989501	01_AE
MG989502	01_AE
MG989503	01_AE
MG989504	01_AE
MG989506	B
MG989507	01_AE
MG989508	01_AE
MG989509	01_AE
MG989510	01_AE
MG989511	01_AE
MG989515	01_AE
MG989516	01_AE
MG989517	01_AE
MG989519	01_AE
MG989521	01_AE
MG989523	01_AE
MG989524	01_AE
MG989525	01_AE
MG989527	01_AE
MG989528	01_AE
MG989529	01_AE
MG989530	01_AE
MG989531	01_AE
MG989534	01_AE
MG989535	01_AE
MG989537	01_AE
MG989539	01_AE
MG989541	B
MG989542	01_AE
MG989543	01_AE
MG989544	01_AE
MG989546	01_AE
MG989551	B
MG989553	01_AE
MG989554	01_AE
MG989558	01_AE
MG989559	01_AE
MG989561	01_AE
MG989562	01_AE
MG989563	01_AE
MG989564	01_AE
MG989565	01_AE
MG989566	01_AE
MG989567	C
MG989568	01_AE
MG989569	01_AE
MH060263	B
MH060485	B
MH060614	B
MH060615	B
MH060681	B
MH060746	B
MH060814	B
MH060817	B
MH060818	B
MH060820	B
MH060822	B
MH060823	B
MH060990	B
MH078530	B
MH078531	B
MH078532	B
MH078533	B
MH078536	02_AG
MH078539	02_AG
MH078540	C
MH078541	02_AG
MH078542	02_AG
MH078543	02_AG
MH078544	02_AG
MH078545	02_AG
MH078546	B
MH078551	B
MH078552	B
MH078553	B
MH078554	B
MH078555	B
MH078560	01_AE
MH078561	01_AE
MH078562	01_AE
MH327745	B
MH327746	B
MH327748	01_AE
MH327749	01_AE
MH327750	01_AE
MH327752	01_AE
MH327754	01_AE
MH327755	01_AE
MH327756	01_AE
MH327757	B
MH327759	01_AE
MH327760	01_AE
MH327761	01_AE
MH327762	01_AE
MH327763	01_AE
MH327764	01_AE
MH330337	A6
MH330339	A6
MH330340	A6
MH330342	A6
MH330343	A6
MH330344	A6
MH330345	A6
MH330346	A6
MH330347	A6
MH330348	A6
MH330349	A6
MH330350	A6
MH330351	A6
MH330352	A6
MH330353	A6
MH330354	A6
MH330355	A6
MH330356	A6
MH330357	A6
MH330358	A6
MH330359	A6
MH330361	A6
MH330364	A6
MH330365	A6
MH330367	A6
MH330370	A6
MH330371	A6
MH330372	A6
MH330373	A6
MH330374	A6
MH330375	A6
MH330376	A6
MH330378	A6
MH330379	A6
MH330380	A6
MH330381	A6
MH431770	G
MH705133	A1
MH705134	G
MH705136	02_AG
MH705137	C
MH705143	D
MH705145	G
MH705147	O
MH705148	O
MH705149	O
MH705150	O
MH705151	A1
MH705152	D
MH705153	A1
MH705155	G
MH705158	A1
MH705162	G
MH746252	01_AE
MH746253	A1
MH746254	B
MH746255	G
MH746258	A1
MH746259	A1
MH746261	B
MH746262	01_AE
MH746263	F1
MH746264	B
MH746265	B
MH746266	B
MH843742	B
MH843743	B
MH843746	B
MH843747	B
MH843753	B
MH843759	B
MH843761	B
MH843762	B
MH843763	B
MH843764	B
MH843765	B
MH843766	B
MH843767	B
MH843768	B
MH843769	B
MH843770	B
MH843771	B
MH843772	B
MH843773	B
MH843774	B
MH843775	B
MH843776	B
MH843778	B
MH843779	B
MH843780	B
MH843781	B
MH843782	B
MH843783	B
MH843784	B
MH843785	B
MH843786	B
MH843787	B
MH843788	B
MH843791	B
MH843792	B
MH843793	B
MH843818	B
MH843819	B
MH843820	B
MH843851	B
MH843857	B
MH843860	B
MH843879	B
MH843883	B
MH843885	B
MH843886	B
MH843887	B
MH843890	B
MH843891	B
MH843894	B
MH843895	B
MH843896	B
MH843898	B
MH843901	B
MH843902	B
MH843904	B
MH843905	B
MH843906	B
MH843907	B
MH843910	B
MH843912	B
MH843914	B
MH843915	B
MH843916	B
MH843935	B
MH897911	B
MH897912	B
MH897915	B
MH897918	B
MH897920	B
MH933704	C
MH933705	C
MH933706	C
MH933707	C
MH933708	C
MH933709	C
MH933710	C
MH933711	C
MH933712	B
MH933713	C
MH933714	C
MK086109	02_AG
MK086129	B
MK114642	B
MK114651	B
MK114652	B
MK114657	B
MK114659	B
MK114661	B
MK114662	B
MK114666	B
MK114671	B
MK114677	B
MK114683	B
MK114684	B
MK114685	B
MK114686	B
MK114690	B
MK114691	B
MK114693	B
MK114694	B
MK114696	B
MK114699	B
MK114702	B
MK114703	B
MK114704	B
MK114706	B
MK114707	B
MK114712	B
MK114713	B
MK114716	B
MK114717	B
MK114722	B
MK114723	B
MK114724	B
MK114725	B
MK114727	B
MK114728	B
MK114734	B
MK114738	B
MK114740	B
MK114742	B
MK114743	B
MK114745	B
MK114746	B
MK114747	B
MK114748	B
MK114749	B
MK114750	B
MK114751	B
MK114752	B
MK114753	B
MK114756	B
MK114758	B
MK114763	B
MK114766	B
MK114769	B
MK114770	B
MK114771	B
MK114776	B
MK114798	B
MK114800	B
MK114802	B
MK114806	B
MK114825	B
MK114832	B
MK114833	B
MK114863	B
MK114867	B
MK114868	B
MK114869	B
MK114872	B
MK114873	B
MK114876	B
MK114877	B
MK114883	B
MK114886	B
MK114887	B
MK114897	B
MK114902	B
MK114905	B
MK114911	B
MK114913	B
MK114915	B
MK114917	B
MK114919	B
MK114923	B
MK114925	B
MK114927	B
MK114928	B
MK114933	B
MK114934	B
MK114939	B
MK114947	B
MK114954	B
MK114957	B
MK114960	B
MK114968	B
MK114971	B
MK114972	B
MK114973	B
MK114974	B
MK114975	B
MK114976	B
MK114981	B
MK114983	B
MK114991	B
MK114996	B
MK115004	B
MK115006	B
MK115007	B
MK115010	B
MK115011	B
MK115021	B
MK115030	B
MK115032	B
MK115034	B
MK115045	B
MK115049	B
MK115051	B
MK115056	B
MK115057	B
MK115059	B
MK115060	B
MK115064	B
MK115067	B
MK115072	B
MK115073	B
MK115083	B
MK115094	B
MK115103	B
MK115115	B
MK115117	B
MK115121	B
MK115123	B
MK115127	B
MK115129	B
MK115134	B
MK115135	B
MK115138	B
MK115140	B
MK115142	B
MK115150	B
MK115156	B
MK115166	B
MK115168	B
MK115192	B
MK115195	B
MK115196	B
MK115198	B
MK115206	B
MK115218	B
MK115231	B
MK115242	B
MK115244	B
MK115255	B
MK115260	B
MK115263	B
MK115264	B
MK115278	B
MK115284	B
MK115290	B
MK115302	B
MK115303	B
MK115304	B
MK115305	B
MK115307	B
MK115311	B
MK115317	B
MK115329	B
MK115356	B
MK115360	B
MK115363	B
MK115366	B
MK115367	B
MK115368	B
MK115376	B
MK115387	B
MK115388	B
MK115389	B
MK115399	B
MK115404	B
MK115405	B
MK115406	B
MK115415	B
MK115416	B
MK115419	B
MK115421	B
MK115429	B
MK115435	B
MK115438	B
MK115439	B
MK115447	B
MK115454	B
MK115465	B
MK115467	B
MK115468	B
MK115471	B
MK115478	B
MK115482	B
MK115483	B
MK115484	B
MK115486	B
MK115487	B
MK115489	B
MK115490	B
MK115491	B
MK115492	B
MK115495	B
MK115497	B
MK115498	B
MK115500	B
MK115501	B
MK115502	B
MK115503	B
MK115505	B
MK115506	B
MK115507	B
MK115508	B
MK115509	B
MK115510	B
MK115513	B
MK115515	B
MK115516	B
MK115517	B
MK115518	B
MK115519	B
MK115523	B
MK115524	B
MK115525	B
MK115527	B
MK115528	B
MK115529	B
MK115530	B
MK115531	B
MK115532	B
MK115534	B
MK115535	B
MK115536	B
MK115539	B
MK115540	B
MK115542	B
MK115543	B
MK115544	B
MK115545	B
MK115547	B
MK115548	B
MK115550	B
MK115551	B
MK115552	B
MK115553	B
MK115555	B
MK115557	B
MK115558	B
MK115559	B
MK115560	B
MK115561	B
MK115562	B
MK115563	B
MK115564	B
MK115565	B
MK115566	B
MK115567	B
MK115568	B
MK115569	B
MK115574	B
MK115575	B
MK115576	B
MK115577	B
MK115578	B
MK115579	B
MK115580	B
MK115581	B
MK115582	B
MK115585	B
MK115587	B
MK115588	B
MK115589	B
MK115590	B
MK115592	B
MK115602	B
MK115615	B
MK115622	B
MK115633	B
MK115637	B
MK115652	B
MK115653	B
MK115654	B
MK115660	B
MK115675	B
MK115683	B
MK115703	B
MK115739	B
MK115754	B
MK115765	B
MK115771	B
MK115777	B
MK115795	B
MK115806	B
MK115829	B
MK115838	B
MK115844	B
MK115850	B
MK115872	B
MK115880	B
MK115886	B
MK115887	B
MK115889	B
MK115892	B
MK115907	B
MK115912	B
MK115918	B
MK115919	B
MK115922	B
MK115923	B
MK115934	B
MK115935	B
MK115937	B
MK115938	B
MK115946	B
MK115948	B
MK115952	B
MK115954	B
MK115955	B
MK115956	B
MK115957	B
MK115959	B
MK115961	B
MK115962	B
MK115963	B
MK115964	B
MK115965	B
MK115966	B
MK115970	B
MK115973	B
MK115974	B
MK115975	B
MK115977	B
MK115978	B
MK115982	B
MK115983	B
MK115985	B
MK115989	B
MK115990	B
MK115992	B
MK115994	B
MK115996	B
MK115997	B
MK115999	B
MK116000	B
MK116001	B
MK116002	B
MK116004	B
MK116007	B
MK116009	B
MK116011	B
MK116012	B
MK116013	B
MK116014	B
MK116016	B
MK116019	B
MK116021	B
MK116022	B
MK116023	B
MK116024	B
MK116028	B
MK116030	B
MK116032	B
MK116034	B
MK116036	B
MK116037	B
MK116040	B
MK116041	B
MK116042	B
MK116046	B
MK116049	B
MK116052	B
MK116053	B
MK116054	B
MK116057	B
MK116058	B
MK116059	B
MK116060	B
MK116061	B
MK116062	B
MK116063	B
MK116064	B
MK116066	B
MK116067	B
MK116068	B
MK116070	B
MK116071	B
MK116072	B
MK116073	B
MK116074	B
MK116075	B
MK116076	B
MK116077	B
MK116078	B
MK116079	B
MK116082	B
MK116085	B
MK116086	B
MK116087	B
MK116088	B
MK116090	B
MK116091	B
MK116093	B
MK116095	B
MK116098	B
MK116103	B
MK116106	B
MK116112	B
MK116116	B
MK116120	B
MK116122	B
MK116123	B
MK116125	B
MK116127	B
MK116129	B
MK116135	B
MK116138	B
MK116145	B
MK116148	B
MK116150	B
MK116160	B
MK116172	B
MK116174	B
MK116181	B
MK116190	B
MK116191	B
MK116194	B
MK116200	B
MK116209	B
MK116214	B
MK116216	B
MK116223	B
MK116905	01_AE
MK169450	B
MK169451	B
MK169452	B
MK169453	B
MK169454	B
MK169455	B
MK169456	B
MK169457	B
MK169458	B
MK169459	B
MK169460	B
MK169461	B
MK169462	B
MK169463	B
MK169464	B
MK169465	B
MK169466	B
MK169467	B
MK169468	B
MK169469	B
MK169470	B
MK169471	B
MK169472	B
MK169473	B
MK169474	B
MK169475	B
MK169476	B
MK169477	B
MK169478	B
MK169479	B
MK169480	B
MK169481	B
MK169482	B
MK169483	B
MK169484	B
MK169485	B
MK169486	B
MK169487	B
MK169488	B
MK169489	B
MK169490	B
MK169513	B
MK169514	B
MK169515	B
MK169516	B
MK169517	B
MK169518	B
MK169519	B
MK169520	B
MK169521	B
MK169522	B
MK169523	B
MK169524	B
MK169525	B
MK169526	B
MK169527	B
MK169528	B
MK169529	B
MK169530	B
MK169531	B
MK169532	B
MK169533	B
MK169534	B
MK169535	B
MK169536	B
MK169537	B
MK169538	B
MK169539	B
MK169540	B
MK169541	B
MK169542	B
MK169543	B
MK169600	B
MK169603	B
MK169605	B
MK169606	B
MK169608	B
MK169609	B
MK169611	B
MK169615	B
MK169617	B
MK169618	B
MK169619	B
MK169622	B
MK169623	B
MK169626	B
MK169627	B
MK169629	B
MK169631	B
MK169635	B
MK169647	B
MK169651	B
MK169652	B
MK169656	B
MK169657	B
MK169660	B
MK169663	B
MK169665	B
MK169666	B
MK169667	B
MK169668	B
MK169669	B
MK169670	B
MK169671	B
MK169672	B
MK169673	B
MK169674	B
MK169675	B
MK169676	B
MK169787	B
MK169788	B
MK169789	B
MK169790	B
MK169791	B
MK169792	B
MK169793	B
MK169794	B
MK169795	B
MK169796	B
MK169797	B
MK169798	B
MK169799	B
MK169800	B
MK169801	B
MK169802	B
MK169803	B
MK169804	B
MK169806	B
MK169807	B
MK169808	B
MK169809	B
MK169810	B
MK169811	B
MK169812	B
MK169813	B
MK169814	B
MK169839	B
MK169840	B
MK169841	B
MK169842	B
MK169843	B
MK169844	B
MK169845	B
MK169846	B
MK169847	B
MK169848	B
MK169849	B
MK169850	B
MK169851	B
MK169852	B
MK169853	B
MK169854	B
MK169855	B
MK169856	B
MK169857	B
MK169858	B
MK169859	B
MK169860	B
MK169861	B
MK169862	B
MK169863	B
MK169864	B
MK169865	B
MK169891	B
MK169892	B
MK177825	02_AG
MK177826	02_AG
MK177827	F1
MK214316	B
MK254637	G
MK254639	G
MK258683	85_BC
